Namespace,Code,Interaction,Communication,Process,Effort,,,,,,,,,,,,,,,,,,,
AudioManager,"    public void Play_sewage()
    {
        sewage.Play();
    }",0.00,0.00,1.00,0.01,,,,,,,,,,,,,,,,,,,
AudioManager,"    public void Play_uni()
    {
        uni.Play();
    }",0.00,0.00,1.00,0.01,,,,,,,,,,,,,,,,,,,
AudioManager,"    public void Play_warehouse()
    {
        warehouse.Play();
    }",0.00,0.00,1.00,0.01,,,,,,,,,,,,,,,,,,,
AudioManager,"    public void Play_water()
    {
        water.Play();
    }",0.00,0.00,1.00,0.01,,,,,,,,,,,,,,,,,,,
AudioManager,"    public void Play_watertank()
    {
        watertank.Play();
    }",0.00,0.00,1.00,0.01,,,,,,,,,,,,,,,,,,,
AudioManager,"    public void Play_watertreatmentplant()
    {
        watertreatmentplant.Play();
    }",0.00,0.00,1.00,0.01,,,,,,,,,,,,,,,,,,,
AudioManager,"    public void Play_windturbine()
    {
        windturbine.Play();
    }",0.00,0.00,1.00,0.01,,,,,,,,,,,,,,,,,,,
AudioManager,"    public void Play_coal()
    {
        coal.Play();
    }",0.00,0.00,1.00,0.01,,,,,,,,,,,,,,,,,,,
AudioManager,"    public void Play_natGas()
    {
        natgas.Play();
    }",0.00,0.00,1.00,0.01,,,,,,,,,,,,,,,,,,,
AppleGameKit_Auth,"void Start()
{
    playerAuthManager = PlayerAuthManager.Instance;
    displayError = DisplayError.Instance;
    await Login();
}",0.00,0.00,3.00,0.10,,,,,,,,,,,,,,,,,,,
AppleGameKit_Auth,"public void LoginWith_AppleGameCenter()
{
    Internal_LoginWith_AppleGameCenter();
}",0.00,0.00,1.00,0.01,,,,,,,,,,,,,,,,,,,
AppleGameKit_Auth,"    private async void Internal_LoginWith_AppleGameCenter()
    {
        await Login();
    }",0.00,0.00,1.00,0.01,,,,,,,,,,,,,,,,,,,
AppleGameKit_Auth,"    private IEnumerator DisableApiExceptionReporting()
    {
        yield return new WaitForSeconds(5);

        isApiReportingEnabled = false;
    }",0.00,0.00,3.00,0.10,,,,,,,,,,,,,,,,,,,
AppleGameKit_Auth,"public static string RemoveSpecialCharacters(string str)
{
    StringBuilder sb = new StringBuilder();
    for (int i = 0; i < str.Length; i++)
    {
        if ((str[i] >= '0' && str[i] <= '9')
            || (str[i] >= 'A' && str[i] <= 'z'
                || (str[i] == '.' || str[i] == '_')))
        {
            sb.Append(str[i]);
        }
    }

    return sb.ToString();
}",0.00,0.00,9.00,1.50,,,,,,,,,,,,,,,,,,,
GPGAuth,"    void Awake()
    {
        PlayGamesPlatform.Activate();
    }",0.00,0.00,1.00,0.01,,,,,,,,,,,,,,,,,,,
GPGAuth,"    private void Start()
    {
        playerAuthManager = PlayerAuthManager.Instance;
    }",0.00,0.00,1.00,0.01,,,,,,,,,,,,,,,,,,,
GPGAuth,"    public void LoginWith_GooglePlayGames()
    {
        Internal_LoginWith_GooglePlayGames();
    }",0.00,0.00,1.00,0.01,,,,,,,,,,,,,,,,,,,
GPGAuth,"    private async void Internal_LoginWith_GooglePlayGames()
    {
        try
        {
            await UnityServices.InitializeAsync();
            await LoginGooglePlayGames();
            await SignInWithGooglePlayGamesAsync(Token);
        }
        catch (Exception ex)
        {
            if (isApiReportingEnabled)
            {
                OnExceptionDto dto = new(lastLocalSave: """", whereExceptionThrownScriptName: ""GPGAuth"", whereExceptionThrownFunctionName: ""Internal_LoginWith_GooglePlayGames"", exceptionMessage: ex.Message);

                StartCoroutine(playerAuthManager.SaveExceptionToServer(dto));
                StartCoroutine(DisableApiExceptionReporting());
            }

            playerAuthManager.OnAnyProcessEndedMainCallback();
        }
    }",0.00,0.00,9.00,3.00,,,,,,,,,,,,,,,,,,,
GPGAuth,"    private IEnumerator DisableApiExceptionReporting()
    {
        yield return new WaitForSeconds(5);

        isApiReportingEnabled = false;
    }",0.00,0.00,3.00,0.10,,,,,,,,,,,,,,,,,,,
PlayerAuthManager,"private void Awake()
{
    DontDestroyOnLoad(this);

    if (Instance == null)
    {
        Instance = this;
    }
    else if (Instance != this)
    {
        Destroy(gameObject);
    }
}",0.00,0.00,3.00,0.01,,,,,,,,,,,,,,,,,,,
PlayerAuthManager,"    private void Start()
    {
        displayError = DisplayError.Instance;
        customTimeManager = CustomTimeManager.Instance;
        StartCoroutine(StartMainCoroutineCallback());
    }",0.00,0.00,4.00,0.01,,,,,,,,,,,,,,,,,,,
PlayerAuthManager,"    private void GetAllDefaultGameValues()
    {
        StartCoroutine(GetDefaultBuildingInfos());
        StartCoroutine(GetDefaultAchievementsInfos());
        StartCoroutine(GetDefaultLeaderInfos());
        StartCoroutine(GetDefaultTechnologyInfos());
        StartCoroutine(GetDefaultRemoveCost());
        StartCoroutine(GetDefaultExhangeRates());
    }",0.00,0.00,12.00,0.10,,,,,,,,,,,,,,,,,,,
PlayerAuthManager,"    private IEnumerator Route_MainGameScene_WhileEnsureDefaultValuesInitialized()
    {
        OnAnyProcessStartMainCallback();
        firstSceneUIHelperManager.CloseAllHolders();

        while (defaultBuildingInfos == null ||
              defaultAchievementsInfos == null ||
               defaultLeaderInfos == null ||
              defaultTechnologyInfos == null ||
              !customTimeManager.Get_isDatetimeOnStartupInitialized())
        {
            Debug.Log(""loading defaults"");
            yield return new WaitForSeconds(1.0f);
        }

        OnAnyProcessEndedMainCallback();

        // go to game scene
        Debug.Log(""Route_NextScene_WhileEnsureDefaultValuesInitialized"");
        changeScene.GoToMainGameScene();

        yield return null;
    }",0.00,0.00,14.00,1.50,,,,,,,,,,,,,,,,,,,
PlayerAuthManager,"    private IEnumerator Route_StoryScene_WhileEnsureDefaultValuesInitializedAndRealTimeInit()
    {
        OnAnyProcessStartMainCallback();
        firstSceneUIHelperManager.CloseAllHolders();

        while (defaultBuildingInfos == null ||
              defaultAchievementsInfos == null ||
               defaultLeaderInfos == null ||
              defaultTechnologyInfos == null ||
              !customTimeManager.Get_isDatetimeOnStartupInitialized())
        {
            Debug.Log(""loading defaults"");
            yield return new WaitForSeconds(1.0f);
        }

        OnAnyProcessEndedMainCallback();

        // go to game scene
        Debug.Log(""Route_StoryScene_WhileEnsureDefaultValuesInitialized"");
        changeScene.GoToStoryScene();

        yield return null;
    }",0.00,0.00,14.00,0.50,,,,,,,,,,,,,,,,,,,
PlayerAuthManager,"    public IEnumerator CheckToken()
    {
        var uwr = new UnityWebRequest(APIURI + APICONTROLLERAUTHMANAGEMENT + ""CheckToken"", ""GET"");
        uwr.SetRequestHeader(""Content-Type"", ""application/json"");
        uwr.SetRequestHeader(""Authorization"", ""Bearer "" + bearerToken);

        uwr.downloadHandler = new DownloadHandlerBuffer();

        yield return uwr.SendWebRequest();

        if (uwr.responseCode != 200)
        {
            // not valid
            isBearerTokenValid = false;
            yield return false;
        }
        else
        {
            // valid
            isBearerTokenValid = true;
            yield return true;
        }
    }",0.00,1.00,9.00,1.00,,,,,,,,,,,,,,,,,,,
PlayerAuthManager,"    public IEnumerator CheckEmailConfirmed()
    {
        var uwr = new UnityWebRequest(APIURI + APICONTROLLERAUTHMANAGEMENT + ""CheckEmailConfirmed?email="" + email, ""GET"");
        uwr.SetRequestHeader(""Content-Type"", ""application/json"");

        uwr.downloadHandler = new DownloadHandlerBuffer();

        yield return uwr.SendWebRequest();

        if (uwr.responseCode != 200)
        {
            isEmailConfirmed = false;
            Debug.Log(""email not confirmed 2"");
            yield return false;
        }
        else
        {
            if (uwr.downloadHandler.text == ""true"")
            {
                isEmailConfirmed = true;
                Debug.Log(""email confirmed 2"");
                yield return true;
            }
            else
            {
                isEmailConfirmed = false;
                Debug.Log(""email not confirmed 2"");
            }
        }
    }",0.00,1.00,15.00,2.50,,,,,,,,,,,,,,,,,,,
PlayerAuthManager,"    public IEnumerator ConfirmEmail(string code)
    {
        OnAnyProcessStartMainCallback();

        var uwr = new UnityWebRequest(APIURI + APICONTROLLERAUTHMANAGEMENT + ""ConfirmEmail?email="" + email + ""&code="" + code, ""GET"");
        uwr.SetRequestHeader(""Content-Type"", ""application/json"");

        uwr.downloadHandler = new DownloadHandlerBuffer();

        yield return uwr.SendWebRequest();

        if (uwr.responseCode != 200)
        {
            var resp = uwr.downloadHandler.text;

            isEmailConfirmed = false;

            // show error
            var apiError = JsonConvert.DeserializeObject<ApiErrorResponse>(resp);
            displayError.ShowError(apiError.DisplayReason);

            yield return false;
        }
        else
        {
            isEmailConfirmed = true;

            StartCoroutine(StartMainCoroutineCallback());

            yield return true;
        }
        Debug.Log(""email confirmed: "" + isEmailConfirmed);
    }",0.00,1.00,15.00,2.00,,,,,,,,,,,,,,,,,,,
PlayerAuthManager,"    public IEnumerator ResendEmailVerificationCode()
    {
        OnAnyProcessStartMainCallback();

        var uwr = new UnityWebRequest(APIURI + APICONTROLLERAUTHMANAGEMENT + ""ResendEmailVerificationCode?email="" + email, ""GET"");
        uwr.SetRequestHeader(""Content-Type"", ""application/json"");

        uwr.downloadHandler = new DownloadHandlerBuffer();

        yield return uwr.SendWebRequest();

        if (uwr.responseCode != 200)
        {
            var resp = uwr.downloadHandler.text;

            // show error
            var apiError = JsonConvert.DeserializeObject<ApiErrorResponse>(resp);
            displayError.ShowError(apiError.DisplayReason);

            yield return false;
        }
        else
        {
            displayError.ShowError(""Email verification code successfully send. Please check your email"");
            yield return true;
        }

        OnAnyProcessEndedMainCallback();
    }",0.00,1.00,15.00,3.00,,,,,,,,,,,,,,,,,,,
PlayerAuthManager,"    public IEnumerator ResetPasswordToken(string emailTmp)
    {
        OnAnyProcessStartMainCallback();

        var uwr = new UnityWebRequest(APIURI + APICONTROLLERAUTHMANAGEMENT + ""ResetPasswordToken?email="" + emailTmp, ""GET"");
        uwr.SetRequestHeader(""Content-Type"", ""application/json"");

        uwr.downloadHandler = new DownloadHandlerBuffer();

        yield return uwr.SendWebRequest();

        if (uwr.responseCode != 200)
        {
            var resp = uwr.downloadHandler.text;

            // show error
            var apiError = JsonConvert.DeserializeObject<ApiErrorResponse>(resp);
            displayError.ShowError(apiError.DisplayReason);

            yield return false;
        }
        else
        {
            displayError.ShowError(""Password reset code successfully send. Please check your email"");

            firstSceneUIHelperManager.OpenForgetPasswordAfterCodeSent();
            yield return true;
        }

        OnAnyProcessEndedMainCallback();
    }",0.00,1.00,15.00,3.00,,,,,,,,,,,,,,,,,,,
PlayerAuthManager,"    public IEnumerator CheckResetPasswordToken(string code)
    {
        OnAnyProcessStartMainCallback();

        var uwr = new UnityWebRequest(APIURI + APICONTROLLERAUTHMANAGEMENT + ""CheckResetPasswordToken?email="" + email + ""&code="" + code, ""GET"");
        uwr.SetRequestHeader(""Content-Type"", ""application/json"");

        uwr.downloadHandler = new DownloadHandlerBuffer();

        yield return uwr.SendWebRequest();

        if (uwr.responseCode != 200)
        {
            var resp = uwr.downloadHandler.text;

            // show error
            var apiError = JsonConvert.DeserializeObject<ApiErrorResponse>(resp);
            displayError.ShowError(apiError.DisplayReason);

            yield return false;
        }
        else
        {
            yield return true;
        }

        OnAnyProcessEndedMainCallback();
    }",0.00,1.00,15.00,3.00,,,,,,,,,,,,,,,,,,,
PlayerAuthManager,public void SaveLeaderboardScoresToApiWrapper(LeaderboarSendScoresDto dto) { StartCoroutine(SaveLeaderboardScoresToApi(dto)); },0.00,0.00,2.00,0.01,,,,,,,,,,,,,,,,,,,
PlayerAuthManager,"    public IEnumerator SaveLeaderboardScoresToApi(LeaderboarSendScoresDto rq)
    {
        rq.Email = email;
        rq.Nickname = nickname;

        var uwr = new UnityWebRequest(APIURI + APICONTROLLERUSERGAMESAVE + ""SaveMyLeaderboardScore"", ""POST"");
        uwr.SetRequestHeader(""Content-Type"", ""application/json"");
        uwr.SetRequestHeader(""Authorization"", ""Bearer "" + bearerToken);

        byte[] jsonToSend = new System.Text.UTF8Encoding().GetBytes(rq.JsonifySelf());

        uwr.uploadHandler = new UploadHandlerRaw(jsonToSend);
        uwr.downloadHandler = new DownloadHandlerBuffer();

        yield return uwr.SendWebRequest();

        if (uwr.responseCode != 200)
        {
            // error
            yield return false;
        }
        else
        {
            // no error user save stored on server

            yield return true;
        }
    }",0.00,1.00,17.00,2.00,,,,,,,,,,,,,,,,,,,
PlayerAuthManager,"    public void On_GPGAuth_Clicked()
    {
#if UNITY_ANDROID
        OnAnyProcessStartMainCallback();
        gPGAuth.LoginWith_GooglePlayGames();
#endif
    }",2.00,1.00,3.00,0.10,,,,,,,,,,,,,,,,,,,
PlayerAuthManager,"    public void On_AGCAuth_Clicked()
    {
#if UNITY_IOS
        OnAnyProcessStartMainCallback();
        appleGameKit_Auth.LoginWith_AppleGameCenter();
#endif
    }",2.00,1.00,3.00,0.10,,,,,,,,,,,,,,,,,,,
PlayerAuthManager,"    public void On_GPGAuth_Authorized(string id, string password)
    {
#if UNITY_ANDROID
        // there are 2 possibilities
        // - user account exist in server -> get id and bearer token and save local, then proceed normally
        // - user account doesnt exist -> create new account and save id and bearer token local, then proceed normally

        // first get correct/modified email from id
        var modifiedEmail = GetModifiedUserEmailFromId(id, ""google"");

        StartCoroutine(CheckIfUserExistInServerAndLoginOrRegister(modifiedEmail, ""google"", password));

#endif
    }",0.00,0.00,5.00,1.00,,,,,,,,,,,,,,,,,,,
PlayerAuthManager,"    public void On_AGCAuth_Authorized(string id, string password)
    {
#if UNITY_IOS
        // there are 2 possibilities
        // - user account exist in server -> get id and bearer token and save local, then proceed normally
        // - user account doesnt exist -> create new account and save id and bearer token local, then proceed normally

        // first get correct/modified email from id
        var modifiedEmail = GetModifiedUserEmailFromId(id, ""apple"");

        StartCoroutine(CheckIfUserExistInServerAndLoginOrRegister(modifiedEmail, ""apple"", password));

#endif
    }",0.00,0.00,5.00,1.00,,,,,,,,,,,,,,,,,,,
PlayerAuthManager,"    private IEnumerator GetDefaultBuildingInfos()
    {
        var uwr = new UnityWebRequest(APIURI + APICONTROLLERGAMEDEFAULTVALUES + ""DefaultBuildingValues"", ""GET"");
        uwr.SetRequestHeader(""Content-Type"", ""application/json"");

        uwr.downloadHandler = new DownloadHandlerBuffer();

        yield return uwr.SendWebRequest();

        if (uwr.responseCode != 200)
        {
            yield return false;
            isAnyDefaultValueHasError = true;
        }
        else
        {
            defaultBuildingInfos = uwr.downloadHandler.text;
            yield return true;
        }
    }",0.00,1.00,7.00,0.60,,,,,,,,,,,,,,,,,,,
PlayerAuthManager,"private IEnumerator GetDefaultAchievementsInfos()
{
    var uwr = new UnityWebRequest(APIURI + APICONTROLLERGAMEDEFAULTVALUES + ""DefaultAchievementsValues"", ""GET"");
    uwr.SetRequestHeader(""Content-Type"", ""application/json"");

    uwr.downloadHandler = new DownloadHandlerBuffer();

    yield return uwr.SendWebRequest();

    if (uwr.responseCode != 200)
    {
        yield return false;
        isAnyDefaultValueHasError = true;
    }
    else
    {
        defaultAchievementsInfos = uwr.downloadHandler.text;
        yield return true;
    }
}",0.00,1.00,7.00,0.60,,,,,,,,,,,,,,,,,,,
PlayerAuthManager,"private IEnumerator GetDefaultLeaderInfos()
{
    var uwr = new UnityWebRequest(APIURI + APICONTROLLERGAMEDEFAULTVALUES + ""DefaultLeaderValues"", ""GET"");
    uwr.SetRequestHeader(""Content-Type"", ""application/json"");

    uwr.downloadHandler = new DownloadHandlerBuffer();

    yield return uwr.SendWebRequest();

    if (uwr.responseCode != 200)
    {
        yield return false;
        isAnyDefaultValueHasError = true;
    }
    else
    {
        defaultLeaderInfos = uwr.downloadHandler.text;
        yield return true;
    }
}",0.00,1.00,7.00,0.60,,,,,,,,,,,,,,,,,,,
PlayerAuthManager,"private IEnumerator GetDefaultTechnologyInfos()
{
    var uwr = new UnityWebRequest(APIURI + APICONTROLLERGAMEDEFAULTVALUES + ""DefaultTechValues"", ""GET"");
    uwr.SetRequestHeader(""Content-Type"", ""application/json"");

    uwr.downloadHandler = new DownloadHandlerBuffer();

    yield return uwr.SendWebRequest();

    if (uwr.responseCode != 200)
    {
        yield return false;
        isAnyDefaultValueHasError = true;
    }
    else
    {
        defaultTechnologyInfos = uwr.downloadHandler.text;
        //defaultTechnologyInfos = tempTech;
        yield return true;
    }
}",0.00,1.00,7.00,0.60,,,,,,,,,,,,,,,,,,,
PlayerAuthManager,"private IEnumerator GetDefaultRemoveCost()
{
    var uwr = new UnityWebRequest(APIURI + APICONTROLLERGAMEDEFAULTVALUES + ""DefaultRemoveCost"", ""GET"");
    uwr.SetRequestHeader(""Content-Type"", ""application/json"");

    uwr.downloadHandler = new DownloadHandlerBuffer();

    yield return uwr.SendWebRequest();

    if (uwr.responseCode != 200)
    {
        yield return false;
        isAnyDefaultValueHasError = true;
    }
    else
    {
        defaultRemoveCostInfo = uwr.downloadHandler.text;
        yield return true;
    }
}",0.00,1.00,7.00,0.60,,,,,,,,,,,,,,,,,,,
PlayerAuthManager,"private IEnumerator GetDefaultExhangeRates()
{
    var uwr = new UnityWebRequest(APIURI + APICONTROLLERGAMEDEFAULTVALUES + ""DefaultExchangeRates"", ""GET"");
    uwr.SetRequestHeader(""Content-Type"", ""application/json"");

    uwr.downloadHandler = new DownloadHandlerBuffer();

    yield return uwr.SendWebRequest();

    if (uwr.responseCode != 200)
    {
        yield return false;
        isAnyDefaultValueHasError = true;
    }
    else
    {
        defaultExhangeRatesInfo = uwr.downloadHandler.text;
        yield return true;
    }
}",0.00,1.00,7.00,0.60,,,,,,,,,,,,,,,,,,,
PlayerAuthManager,"    public IEnumerator GetMyLastSave()
    {
        var uwr = new UnityWebRequest(APIURI + APICONTROLLERUSERGAMESAVE + ""MyLastSave"" + ""?email="" + email, ""GET"");
        uwr.SetRequestHeader(""Content-Type"", ""application/json"");
        uwr.SetRequestHeader(""Authorization"", ""Bearer "" + bearerToken);

        uwr.downloadHandler = new DownloadHandlerBuffer();

        yield return uwr.SendWebRequest();

        if (uwr.responseCode != 200)
        {
            doesUserHasSaveOnServer = false;
            yield return false;
        }
        else
        {
            doesUserHasSaveOnServer = true;
            userSaveFromServer = uwr.downloadHandler.text;
            yield return true;
        }
    }",0.00,1.00,11.00,3.00,,,,,,,,,,,,,,,,,,,
PlayerAuthManager,"    public IEnumerator SaveMySave(UserSaveRequestDto rq)
    {
        rq.Email = email;

        var uwr = new UnityWebRequest(APIURI + APICONTROLLERUSERGAMESAVE + ""SaveMyData"", ""POST"");
        uwr.SetRequestHeader(""Content-Type"", ""application/json"");
        uwr.SetRequestHeader(""Authorization"", ""Bearer "" + bearerToken);

        byte[] jsonToSend = new System.Text.UTF8Encoding().GetBytes(rq.JsonifySelf());

        uwr.uploadHandler = new UploadHandlerRaw(jsonToSend);
        uwr.downloadHandler = new DownloadHandlerBuffer();

        yield return uwr.SendWebRequest();

        if (uwr.responseCode != 200)
        {
            // error
            yield return false;
        }
        else
        {
            // no error user save stored on server

            yield return true;
        }
    }",0.00,1.00,13.00,3.00,,,,,,,,,,,,,,,,,,,
PlayerAuthManager,"public void OnAnyProcessStartMainCallback()
{
    whileOnLoadingHolderTransform.gameObject.SetActive(true);
}",0.00,0.00,1.00,0.01,,,,,,,,,,,,,,,,,,,
PlayerAuthManager,"    public void OnAnyProcessEndedMainCallback()
    {
        whileOnLoadingHolderTransform.gameObject.SetActive(false);
    }",0.00,0.00,1.00,0.01,,,,,,,,,,,,,,,,,,,
PlayerAuthManager,"    private string GetModifiedUserEmailFromId(string id, string _3rdPartyProvider)
    {
        var lead = $""a-{_3rdPartyProvider}"";
        var trail = ""@d.a"";
        return lead + id + trail;
    }",0.00,0.00,2.00,0.10,,,,,,,,,,,,,,,,,,,
AchievementsInfo,"    private void Awake()
    {
        if (Instance == null)
        {
            Instance = this;
        }
        else if (Instance != this)
        {
            Destroy(gameObject);
        }
    }",0.00,0.00,3.00,0.01,,,,,,,,,,,,,,,,,,,
AchievementsInfo,"    void Start()
    {
        tempJson = PlayerAuthManager.Instance.GetDefaultAchievementsInfosString();
        myDeserializedAchievementsRootClass = JsonConvert.DeserializeObject<List<AchievementsRoot>>(tempJson);
    }",0.00,0.00,3.00,0.50,,,,,,,,,,,,,,,,,,,
BuildingInfo,"    private void Awake()
    {
        if (Instance == null)
        {
            Instance = this;
        }
        else if (Instance != this)
        {
            Destroy(gameObject);
        }
    }",0.00,0.00,3.00,0.01,,,,,,,,,,,,,,,,,,,
BuildingInfo,"    void Start()
    {
        tempJson = PlayerAuthManager.Instance.GetDefaultBuildingInfosString();
        myDeserializedClass = JsonConvert.DeserializeObject<List<Root>>(tempJson);
        Debug.Log(myDeserializedClass[0].Identifiers.Code);
    }",0.00,0.00,4.00,0.50,,,,,,,,,,,,,,,,,,,
BuildingInfo,"    public Root QByKod(string kod)
    {
        if (kod == ""ROAD"") { return null; }
        foreach (Root root in myDeserializedClass)
        {
            if (root.Identifiers.Code == kod) return root;
        }
        Debug.Log(""Problem: ***SEVERE*** \r\n cant find root"");
        return null;
    }",0.00,0.00,3.00,1.00,,,,,,,,,,,,,,,,,,,
BuildingInfo,"    public static int SimplifyValueNumber(int value)
    {
        var outputString = """";

        var outputLeading = """";
        char outputTrail;
        var outputMultiText = """";

        var inputString = value.ToString();
        var inputDigits = inputString.Length;

        if (inputDigits == 0) return 0;
        if (inputDigits < 4) return value;

        var mod3reminder = inputDigits % 3;
        if (mod3reminder == 0) mod3reminder = 3;

        outputLeading = inputString.Substring(0, mod3reminder);

        var reqZeros = inputDigits - mod3reminder;

        for (var i = 0; i < reqZeros; i++)
        {
            outputLeading += ""0"";
        }
        outputString = outputLeading;
        return int.Parse(outputString);
    }",0.00,0.00,11.00,4.50,,,,,,,,,,,,,,,,,,,
BuildingInfo,"    // kilo format
    public static string FormatNumber(long num)
    {
        if (num >= 100000000000)
        {
            return (num / 1000000000D).ToString(""0.#B"");
        }
        if (num >= 1000000000)
        {
            return (num / 1000000000D).ToString(""0.##B"");
        }
        if (num >= 100000000)
        {
            return (num / 1000000D).ToString(""0.#M"");
        }
        if (num >= 1000000)
        {
            return (num / 1000000D).ToString(""0.##M"");
        }
        if (num >= 100000)
        {
            return (num / 1000D).ToString(""0.#k"");
        }
        if (num >= 10000)
        {
            return (num / 1000D).ToString(""0.##k"");
        }

        return num.ToString(""#,0"");
    }",0.00,0.00,19.00,1.00,,,,,,,,,,,,,,,,,,,
TechnologyInfo,"    private void Awake()
    {
        if (Instance == null)
        {
            Instance = this;
        }
        else if (Instance != this)
        {
            Destroy(gameObject);
        }
    }",0.00,0.00,3.00,0.01,,,,,,,,,,,,,,,,,,,
TechnologyInfo,"    void Start()
    {
        tempTechJson = PlayerAuthManager.Instance.GetDefaultTechnologyInfosString();
        myDeserializedTechClass = JsonConvert.DeserializeObject<List<TechRoot>>(tempTechJson);
        Debug.Log(myDeserializedClass[0].Identifiers.Code);
    }",0.00,0.00,3.00,0.01,,,,,,,,,,,,,,,,,,,
TechnologyInfo,"    public TechRoot QTechByKod(string kod)
    {
        foreach (TechRoot root in myDeserializedTechClass)
        {
            if (root.TechIdentifiers.Code == kod) return root;
        }
        Debug.Log(""Problem: ***SEVERE*** \r\n cant find root"");
        return null;
    }",0.00,0.00,2.00,0.50,,,,,,,,,,,,,,,,,,,
FogManager,"    private void Awake()
    {
        if (Instance == null)
        {
            Instance = this;
        }
        else if (Instance != this)
        {
            Destroy(gameObject);
        }
    }",0.00,0.00,3.00,0.01,,,,,,,,,,,,,,,,,,,
FogManager,"    void Start()
    {
        RenderSettings.fogDensity = fogDensity;
        RenderSettings.fog = false;
        environment = EnvironmentManager.Instance;

        StartCoroutine(CheckDPAndChangeFogDensity());
    }",0.00,0.00,5.00,0.10,,,,,,,,,,,,,,,,,,,
FogManager,"    public void ChangeChangeFogDensityOneTimeAfterInitialValuesLoadedFromSave()
    {
        var dp = environment.getDP();
        var dpClamphed = Mathf.Clamp((float)dp, -10.0f, 10.0f);

        /*
         * Normalization formula
         * normal = (value - min) / (max - min)
         */
        var dpNormalized = (dpClamphed + 10.0f) / (20.0f);

        var newDensity = Mathf.Lerp(0.008f, 0.001f, dpNormalized);
        if (newDensity != fogDensity)
        {
            ChangeFogDensity(newDensity);
        }
    }",0.00,0.00,12.00,0.10,,,,,,,,,,,,,,,,,,,
GroundEnvironmentManager,"    private void Awake()
    {
        if (Instance == null)
        {
            Instance = this;
        }
        else if (Instance != this)
        {
            Destroy(gameObject);
        }
    }",0.00,0.00,3.00,0.01,,,,,,,,,,,,,,,,,,,
